epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7396,1.70076,4.12048,2.09217,0.80879,0.25369,0.26675,0.19009,2.20952,2.76852,2.95471,0.000552258,0.000552258,0.000552258
2,105.239,1.70722,2.78494,2.1841,0.82273,0.22731,0.25039,0.16443,2.97059,2.63911,3.20306,0.00108599,0.00108599,0.00108599
3,153.645,1.89584,2.53266,2.43199,0.28217,0.13732,0.09975,0.04068,3.17015,3.08331,3.93427,0.00159771,0.00159771,0.00159771
4,201.361,1.96681,2.50413,2.51468,0.52796,0.1987,0.20097,0.10586,2.80603,4.48371,3.28135,0.00156798,0.00156798,0.00156798
5,249.548,2.00707,2.50603,2.54755,0.40917,0.18106,0.1587,0.08232,2.98079,3.46443,3.1905,0.00153497,0.00153497,0.00153497
6,297.65,1.99127,2.52189,2.49905,0.56526,0.19938,0.20596,0.0971,2.42693,3.17631,2.78982,0.00150197,0.00150197,0.00150197
7,347.14,1.83596,2.55903,2.33553,0.6693,0.21179,0.23413,0.13766,2.21078,3.72212,2.60754,0.00146896,0.00146896,0.00146896
8,395.368,1.79829,2.29767,2.32098,0.75943,0.24981,0.30163,0.17772,2.0775,3.17549,2.38467,0.00143595,0.00143595,0.00143595
9,442.655,1.80027,2.09402,2.30144,0.69094,0.25148,0.28293,0.17025,2.22162,3.32218,2.526,0.00140295,0.00140295,0.00140295
10,489.924,1.71161,2.10629,2.20474,0.74504,0.2436,0.30604,0.18541,2.01035,3.01741,2.31169,0.00136994,0.00136994,0.00136994
11,537.744,1.6999,1.988,2.19957,0.83932,0.25058,0.31243,0.1986,2.08594,2.2293,2.27965,0.00133693,0.00133693,0.00133693
12,585.808,1.71787,1.97948,2.20161,0.70384,0.25601,0.31532,0.20127,1.81951,2.46661,2.21196,0.00130393,0.00130393,0.00130393
13,634.449,1.58403,1.90116,2.06357,0.67106,0.41195,0.47104,0.27116,1.79433,2.25699,2.20602,0.00127092,0.00127092,0.00127092
14,682.141,1.58238,1.84175,2.01567,0.70362,0.49728,0.54676,0.33532,1.60886,2.04805,2.16263,0.00123791,0.00123791,0.00123791
15,730.113,1.53055,1.76886,1.99527,0.7665,0.49728,0.5143,0.30782,1.55869,1.69704,2.64416,0.00120491,0.00120491,0.00120491
16,778.108,1.5288,1.80466,2.00128,0.75413,0.51161,0.52853,0.31154,1.59262,1.68649,2.96325,0.0011719,0.0011719,0.0011719
17,826.046,1.45057,1.62506,1.90741,0.83433,0.52056,0.60115,0.38369,1.48102,1.48218,1.99226,0.00113889,0.00113889,0.00113889
18,874.487,1.41482,1.56717,1.87364,0.84865,0.51668,0.57502,0.3609,1.48433,1.54175,2.14228,0.00110589,0.00110589,0.00110589
19,921.873,1.39101,1.53178,1.86526,0.8195,0.53186,0.59539,0.38219,1.44069,1.43324,1.87612,0.00107288,0.00107288,0.00107288
20,970.373,1.35126,1.49969,1.82713,0.83646,0.52676,0.59824,0.38372,1.44005,1.40799,2.09267,0.00103987,0.00103987,0.00103987
21,1019.03,1.35008,1.45185,1.81028,0.8547,0.52479,0.58817,0.37308,1.45062,1.44816,2.11857,0.00100687,0.00100687,0.00100687
22,1068.28,1.31014,1.41476,1.79693,0.81323,0.56749,0.62801,0.40426,1.41121,1.35175,1.84008,0.000973861,0.000973861,0.000973861
23,1118.05,1.31062,1.36124,1.76831,0.75745,0.56206,0.62699,0.41074,1.39904,1.37105,1.83325,0.000940855,0.000940855,0.000940855
24,1175.14,1.3023,1.3696,1.75652,0.85561,0.52444,0.608,0.39885,1.38443,1.41374,1.87961,0.000907848,0.000907848,0.000907848
25,1229.09,1.25724,1.32654,1.71079,0.85381,0.50659,0.56304,0.35944,1.39542,1.45928,1.95526,0.000874842,0.000874842,0.000874842
26,1278.53,1.24909,1.30479,1.68801,0.77629,0.53297,0.60553,0.39775,1.37291,1.38044,1.77879,0.000841835,0.000841835,0.000841835
27,1328.25,1.24847,1.29113,1.68009,0.83072,0.54616,0.61719,0.40987,1.3249,1.36031,1.7491,0.000808828,0.000808828,0.000808828
28,1376.4,1.21847,1.26021,1.66636,0.84717,0.54616,0.63125,0.4109,1.35191,1.36223,1.74327,0.000775822,0.000775822,0.000775822
29,1424.03,1.21823,1.24807,1.65134,0.76525,0.57021,0.62672,0.40995,1.35316,1.38572,1.73657,0.000742815,0.000742815,0.000742815
30,1471.54,1.18912,1.23367,1.63772,0.7494,0.56788,0.64648,0.41851,1.34877,1.35593,1.69526,0.000709809,0.000709809,0.000709809
31,1519.46,1.16849,1.19915,1.61239,0.79809,0.54926,0.62341,0.41975,1.32333,1.38901,1.67968,0.000676802,0.000676802,0.000676802
32,1567.26,1.17472,1.18196,1.60348,0.8071,0.54858,0.61487,0.40533,1.37056,1.41882,1.79626,0.000643795,0.000643795,0.000643795
33,1615.17,1.14449,1.17189,1.58793,0.82005,0.56633,0.62973,0.42376,1.29681,1.32341,1.67077,0.000610789,0.000610789,0.000610789
34,1663.02,1.13975,1.15811,1.5705,0.79528,0.55151,0.63023,0.42134,1.3247,1.4229,1.70496,0.000577782,0.000577782,0.000577782
35,1710.61,1.13236,1.13268,1.57119,0.87523,0.56012,0.65803,0.44046,1.31755,1.26824,1.75707,0.000544776,0.000544776,0.000544776
36,1761.07,1.13222,1.14498,1.58227,0.75364,0.51823,0.60787,0.36465,1.48972,1.56263,1.84783,0.000511769,0.000511769,0.000511769
37,1808.91,1.11974,1.10616,1.54588,0.78057,0.54538,0.64167,0.38942,1.43378,1.4812,1.78506,0.000478762,0.000478762,0.000478762
38,1858.59,1.10151,1.09106,1.53791,0.85465,0.57021,0.66514,0.44276,1.29231,1.32994,1.6242,0.000445756,0.000445756,0.000445756
